[USER] I am looking for a restaurant. I would like something cheap that has Chinese food.  [SYSTEM] I've heard good things about the lucky star. Need a reservation? [END]
[USER] Yes, I would like to be booked for a table for 8 on 19:45 on a Saturday, and could I also get the reference number?  [SYSTEM] Your reservation has been made and the reference number is 3P2ALRY0 . [END]
[SYSTEM] Your reservation has been made and the reference number is 3P2ALRY0 .  [USER] Thank you for your help. [END]
[USER] Thank you for your help.  [SYSTEM] You are welcome. [END]
[USER] I am looking for a cheap restaurant serving chinese food.  [SYSTEM] What area of town are you looking at? [END]
[SYSTEM] What area of town are you looking at?  [USER] I don't care. [END]
[USER] I don't care.  [SYSTEM] We have four restaurant in the cheap price serving chinese food, can I help you with anything else? [END]
[SYSTEM] We have four restaurant in the cheap price serving chinese food, can I help you with anything else?  [USER] Yes please. I want the address and phone number of anyone of them. [END]
[USER] Yes please. I want the address and phone number of anyone of them.  [SYSTEM] charlie chan is located at regent street city centre and its phone number is 01223 361763. Is there anything else I can help you with? [END]
[SYSTEM] charlie chan is located at regent street city centre and its phone number is 01223 361763. Is there anything else I can help you with?  [USER] Thank you, goodbye [END]
[USER] Thank you, goodbye  [SYSTEM] You're welcome! Goodbye! [END]
[USER] I need a restaurant  [SYSTEM] In what part of town? [END]
[SYSTEM] In what part of town?  [USER] East and expensive [END]
[USER] East and expensive  [SYSTEM] There are several restaurant matches in this area. Would you like British, Indian, Gastropub, or Chinese? [END]
[SYSTEM] There are several restaurant matches in this area. Would you like British, Indian, Gastropub, or Chinese?  [USER] address and phone number for the chinese restaurant [END]
[USER] address and phone number for the chinese restaurant  [SYSTEM] Here you go, 01223 248882, 529 Newmarket Road Fen Ditton. Anything else today? [END]
[SYSTEM] Here you go, 01223 248882, 529 Newmarket Road Fen Ditton. Anything else today?  [USER] No, This is it. Thank you [END]
[USER] No, This is it. Thank you  [SYSTEM] Wait. How about that British restaurant? Where is it located? [END]
[SYSTEM] Wait. How about that British restaurant? Where is it located?  [USER] Is there a welsh restaurant in the north part of town? [END]
[USER] Is there a welsh restaurant in the north part of town?  [SYSTEM] i am sorry no welsh restaurants in the north part of town. [END]
[SYSTEM] i am sorry no welsh restaurants in the north part of town.  [USER] thank you, good bye. [END]
[USER] thank you, good bye.  [SYSTEM] thank you good bye [END]
[USER] Are there any moderately priced restaurants in the southern part of town?  [SYSTEM] Yes, there are two. Pizza Hut Cherry Hinton serves Italian food while Restaurant Alimentum serves Modern European food. Would you like any additional info on those or help finding something else? [END]
[SYSTEM] Yes, there are two. Pizza Hut Cherry Hinton serves Italian food while Restaurant Alimentum serves Modern European food. Would you like any additional info on those or help finding something else?  [USER] What are the address and phone number of one of them ? [END]
[USER] What are the address and phone number of one of them ?  [SYSTEM] Pizza Hut cherry hinton is at G4 Cambridge Leisure Park Clifton Way Cherry Hinton with phone number 01223 323737 [END]
[SYSTEM] Pizza Hut cherry hinton is at G4 Cambridge Leisure Park Clifton Way Cherry Hinton with phone number 01223 323737  [USER] Excellent, thank you. Goodbye! [END]
[USER] Excellent, thank you. Goodbye!  [SYSTEM] Have a wonderful day! Good bye! [END]
[USER] Hello, I am looking for a restaurant on the south side of town that serves unusual food.  [SYSTEM] Sorry but there is no resaurants that fit your request. do you want something different? [END]
[SYSTEM] Sorry but there is no resaurants that fit your request. do you want something different?  [USER] Yes, how about indian food [END]
[USER] Yes, how about indian food  [SYSTEM] I recommend taj tandoori. It is located in the south part of town. [END]
[SYSTEM] I recommend taj tandoori. It is located in the south part of town.  [USER] What is the phone number? [END]
[USER] What is the phone number?  [SYSTEM] Taj Tandoori's phone number is 01223 412299. Is there anything else I can do for you? [END]
[SYSTEM] Taj Tandoori's phone number is 01223 412299. Is there anything else I can do for you?  [USER] No that is all. Thank you, goodbye. [END]
[USER] No that is all. Thank you, goodbye.  [SYSTEM] Thank for calling Cambridge restaurant system, goodbye. [END]
[USER] I want portuguese food and I don't care about the price range. What is the address and phone number?  [SYSTEM] Nandos is a Portuguese restaurant, it is in the cheap price range, and it is on the south side of town. The address is Cambridge Leisure Park Clifton Way, and the phone number is 01223 327908. [END]
[SYSTEM] Nandos is a Portuguese restaurant, it is in the cheap price range, and it is on the south side of town. The address is Cambridge Leisure Park Clifton Way, and the phone number is 01223 327908.  [USER] Thank you goodbye. [END]
[USER] Thank you goodbye.  [SYSTEM] Thank you for using our system. Good bye [END]
[USER] I'm trying to find a restaurant that serves crossover food. Can you recommend anything?  [SYSTEM] What area were you looking for? [END]
[SYSTEM] What area were you looking for?  [USER] Anywhere really. [END]
[USER] Anywhere really.  [SYSTEM] Which price range are you looking for? [END]
[SYSTEM] Which price range are you looking for?  [USER] I am looking for something in the expensive price range. [END]
[USER] I am looking for something in the expensive price range.  [SYSTEM] No restaurants match that request. Can I search for something different for you? [END]
[SYSTEM] No restaurants match that request. Can I search for something different for you?  [USER] Can I get an Italian restaurant? address and phone number please. [END]
[USER] Can I get an Italian restaurant? address and phone number please.  [SYSTEM] An expensive Italian restaurant is found in the center of town, Caffe Uno. The address is 32 Bridge Street City Centre. The phone number is 01223 448620. [END]
[SYSTEM] An expensive Italian restaurant is found in the center of town, Caffe Uno. The address is 32 Bridge Street City Centre. The phone number is 01223 448620.  [USER] Thank you, goodbye [END]
[USER] Thank you, goodbye  [SYSTEM] Thank you for using this system. Goodbye. [END]
[USER] I would like to find an expensive restaurant in the east part of town.  [SYSTEM] What type of food are you looking for? [END]
[SYSTEM] What type of food are you looking for?  [USER] I don't care. [END]
[USER] I don't care.  [SYSTEM] grafton hotel restaurant serves british food, in the expensive price range and in the east. would you like to know the address and phone number? [END]
[SYSTEM] grafton hotel restaurant serves british food, in the expensive price range and in the east. would you like to know the address and phone number?  [USER] Just the phone number is fine, please. [END]
[USER] Just the phone number is fine, please.  [SYSTEM] The phone number is 01223 241387. Will that be all? [END]
[SYSTEM] The phone number is 01223 241387. Will that be all?  [USER] That is all, thank you very much. Good bye. [END]
[USER] That is all, thank you very much. Good bye.  [SYSTEM] Thank you for using the Cambridge system. Goodbye. [END]
[USER] can i please have a cheap restaurant in the west ?  [SYSTEM] La Margherita is an Italian restaurant. It is located at 15 Magdalene Street City Centre. Phone number is 01223 315232. [END]
[SYSTEM] La Margherita is an Italian restaurant. It is located at 15 Magdalene Street City Centre. Phone number is 01223 315232.  [USER] Thank you very much. bye. [END]
[USER] Thank you very much. bye.  [SYSTEM] Thank you, goodbye. [END]
[USER] i want a place for dinner and serves a mexican food,where can i find it?please first pick for me a taxi to that place should be to the north.  [SYSTEM] Unfortunately, I was unable to find a Mexican restaurant in the north. Is there anything else I can help you with? [END]
[SYSTEM] Unfortunately, I was unable to find a Mexican restaurant in the north. Is there anything else I can help you with?  [USER] How about a chinese restaurant? [END]
[USER] How about a chinese restaurant?  [SYSTEM] The hotpot sounds like a good idea. Need a reservation? [END]
[SYSTEM] The hotpot sounds like a good idea. Need a reservation?  [USER] Yes, please. 6 people at 11:30 on sunday. [END]
[USER] Yes, please. 6 people at 11:30 on sunday.  [SYSTEM] I'm so sorry, but I wasn't able to make that reservation for you. May I try on another day or at another time? [END]
[SYSTEM] I'm so sorry, but I wasn't able to make that reservation for you. May I try on another day or at another time?  [USER] Yes, let's shoot for the same thing but on Wednesday instead, okay? [END]
[USER] Yes, let's shoot for the same thing but on Wednesday instead, okay?  [SYSTEM] I was able to get you that reservation on Wednesday. The table will be reserved for 15 minutes prior to your arrival. [END]
[SYSTEM] I was able to get you that reservation on Wednesday. The table will be reserved for 15 minutes prior to your arrival.  [USER] May I have the reference number please? [END]
[USER] May I have the reference number please?  [SYSTEM] Absolutely, the reference number is W92C2Z47 . Is there anything else I can help you with today? [END]
[SYSTEM] Absolutely, the reference number is W92C2Z47 . Is there anything else I can help you with today?  [USER] That was all. Thanks [END]
